,Minimum_Loss,Minimum_Validation_Loss,MAE_train_ds,MAE_val_ds,Batch_size,Window_size,Epochs,Patience,Min_delta,Shuffle,Use_scaler,Optimizer,Loss,Dropout,LSTM,Return_sequences,Activation,Dense,Dense_output,Time_to_complete
0,3.290834426879883,6.476961135864258,1.8779397010803223,6.476961135864258,250,252,100,30,0.001,True,True,adam,mae,0.3,200,False,relu,512,1,0 days 00:56:01.608686
0,3.142087936401367,4.981149673461914,4.68630838394165,4.981149673461914,500,502,100,30,0.001,True,True,adam,mae,0.3,200,False,relu,512,1,0 days 02:20:58.780984
0,3.1048269271850586,5.780714988708496,3.5087311267852783,28.977989196777344,250,252,100,30,0.001,True,True,adam,mae,0.3,200,False,relu,1024,1,0 days 03:26:27.778428
0,2.696119785308838,7.565427780151367,2.5382187366485596,7.565427780151367,500,502,100,30,0.001,True,True,adam,mae,0.3,200,False,relu,1024,1,0 days 05:28:59.507795
0,3.578629970550537,3.2162182331085205,2.6307311058044434,3.2162184715270996,250,252,100,30,0.001,True,True,adam,mae,0.3,200,False,relu,2000,1,0 days 06:14:24.334971
0,2.976128578186035,5.111591339111328,2.2757270336151123,5.111591815948486,500,502,100,30,0.001,True,True,adam,mae,0.3,200,False,relu,2000,1,0 days 08:19:33.449852
0,3.3596444129943848,3.7341055870056152,2.5419766902923584,3.7341055870056152,250,252,100,30,0.001,True,True,adam,mae,0.2,200,False,relu,512,1,0 days 08:56:02.974874
0,3.1459484100341797,24.629558563232422,6.884259223937988,24.629558563232422,500,502,100,30,0.001,True,True,adam,mae,0.2,200,False,relu,512,1,0 days 10:18:46.055303
0,3.175447702407837,4.909162521362305,3.236734628677368,4.909162521362305,250,252,100,30,0.001,True,True,adam,mae,0.2,200,False,relu,1024,1,0 days 10:58:18.883218
0,2.9655447006225586,7.143547058105469,15.59354019165039,7.143547058105469,500,502,100,30,0.001,True,True,adam,mae,0.2,200,False,relu,1024,1,0 days 12:10:04.012162
0,3.2627570629119873,4.333797931671143,3.792271852493286,4.333798408508301,250,252,100,30,0.001,True,True,adam,mae,0.2,200,False,relu,2000,1,0 days 12:49:02.594075
0,3.2214622497558594,12.087294578552246,5.539450645446777,12.087296485900879,250,252,100,30,0.001,True,True,adam,mae,0.3,200,False,relu,2000,1,0 days 01:08:04.234526
0,2.478015184402466,6.1242852210998535,1.3925063610076904,148.62469482421875,500,502,100,30,0.001,True,True,adam,mae,0.2,200,False,relu,2000,1,0 days 15:00:57.952820
